Unnamed: 0,title,text,label,type,tokenized
7135,우리집 준호,준호야내가 너말듣고 집 갖다판지 년째다 연락 좀 다오,1,5,"['준호', '야', '내', '가', '너', '말', '듣', '고', '집', '갖', '다', '판지', '년', '째', '다', '연락', '좀', '다', '오']"
5250,사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],이분 노래 실력 껌 이시네,0,0,"['이분', '노래', '실력', '껌', '이', '시', '네']"
7342,[IU TV] 내가! 마! 억수로! 좋아한다고!,아이유 만 되니까 세상이 니꺼 같지 곧 우주가 니꺼야,1,5,"['아이유', '만', '되', '니까', '세상', '이', '니꺼', '같', '지', '곧', '우주', '가', '니', '꺼야']"
5745,[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,분명 유나는 연습생 기간이 짧았다고했는데 막상 무대를 보면 여유가 넘친다뭐지 이거 진짜 타고난 끼인가진짜 대박이다 짱 이쁘다,0,0,"['분명', '유나', '는', '연습생', '기간', '이', '짧', '았', '다고', '했', '는데', '막상', '무대', '를', '보', '면', '여유', '가', '넘친다', '뭐', '지', '이거', '진짜', '타고난', '끼', '인가', '진짜', '대박', '이', '다', '짱', '이쁘', '다']"
8502,[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,이걸 보기 위해 살았나봐요,1,5,"['이걸', '보', '기', '위해', '살', '았', '나', '봐요']"
7993,[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,무기징역 나은보려고 매일 면회옴평생 징역이니까 평생 와야겠네,1,5,"['무기', '징역', '나', '은', '보', '려고', '매일', '면회', '옴', '평생', '징역', '이', '니까', '평생', '와야', '겠', '네']"
8475,제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,아두 남자 너무 많은 짐을 지고잇네그것은 멋짐,1,1,"['아', '두', '남자', '너무', '많', '은', '짐', '을', '지', '고', '잇', '네', '그것', '은', '멋', '짐']"
7472,한예슬의 일상 메이크업은? | Daily Makeup,아니 화장을 대충하는데 얼굴이 대충 안생겼어 눈코입이 한예슬이잖아요ㅠㅜ 쌩얼부터 존예에요,1,5,"['아니', '화장', '을', '대충', '하', '는데', '얼굴', '이', '대충', '안', '생겼', '어', '눈코', '입', '이', '한예슬', '이', '잖', '아요', 'ㅠㅜ', '쌩', '얼', '부터', '존', '예', '에', '요']"
2890,[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,원영 암소큐나은 예쁜게 죄유나 달라달라수진 핫이슈,0,0,"['원영', '암소', '큐나', '은', '예쁜', '게', '죄', '유나', '달라', '달', '라', '수진', '핫', '이', '슈']"
6017,180930 아이유(IU) 좋은날 + 너랑나 + 금요일에만나요 + 너의의미 [삼성카드홀가분마켓] 4K 직캠 by 비몽,  좋은 날  너랑 나 한 곡 더 할까요  금요일에 만나요  너의 의미 바람에 머릿결 날리는 여신님의 자태,0,0,"['좋', '은', '날', '너', '랑', '나', '한', '곡', '더', '할까요', '금요일', '에', '만나', '요', '너', '의', '의미', '바람', '에', '머릿결', '날리', '는', '여신', '님', '의', '자태']"
1112,[IU] 'eight' Acoustic Ver. Live Clip,아이유님 생일축하합니다 앞으로 꽃길만걸어요,0,0,"['아이유', '님', '생일', '축하', '합니다', '앞', '으로', '꽃길', '만', '걸', '어요']"
8615,The Beatles - Hey Jude (cover by 최진솔),하 언니 공룡이 왜 멸종했게요 팔이 짧아서 언니영상보고 박수를 못쳐서 제가 멸종시켰어요 언니 사랑해,1,5,"['하', '언니', '공룡', '이', '왜', '멸종', '했', '게', '요', '팔', '이', '짧', '아서', '언니', '영상', '보', '고', '박수', '를', '못', '쳐서', '제', '가', '멸종', '시켰', '어요', '언니', '사랑', '해']"
7465,"191123 아이유(IU) 내 손을 잡아(Hold My Hand) 직캠 @Love, poem 서울 토요일 콘서트",같은 시대를 살아가는게 경이로울 정도,1,5,"['같', '은', '시대', '를', '살아가', '는', '게', '경이', '로울', '정도']"
5463,"[Comeback Stage] 2PM - I'm your man, 투피엠 - 아임 유어 맨, Music Core 20140913",준호야 미안한데 이 영상은 솔직히 옥택연이다,0,0,"['준호', '야', '미안', '한데', '이', '영상', '은', '솔직히', '옥택연', '이', '다']"
5382,빅스 (VIXX) - 도원경(桃源境) (Shangri-La) 교차편집,투피엠은 굵직굵직이라면 빅스는 길쭉길쭉 굵직길쭉한 오라버니들 모아놓으니 너무재밌자너,0,0,"['투피', '엠', '은', '굵직굵직', '이', '라면', '빅스', '는', '길쭉길쭉', '굵직', '길쭉', '한', '오라버니', '들', '모아', '놓', '으니', '너무', '재밌', '자', '너']"
7538,First Vlog. Furniture Shopping Is Not Easy (ft. My YouTube Room🪑),미쳤다 안소희가 유투브를 시작했다세상은 오래살고 볼 일이다지금까지 살아온 시간들에 이유가 생겼다,1,5,"['미쳤', '다', '안소희', '가', '유투', '브', '를', '시작', '했', '다', '세상', '은', '오래', '살', '고', '볼', '일', '이', '다', '지금', '까지', '살아온', '시간', '들', '에', '이유', '가', '생겼', '다']"
8443,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],아르키메데스는 목욕탕에서 유레카를 외쳤고저는 부산 만덕동에서 최진솔을 외쳤습니다,1,5,"['아르키메데스', '는', '목욕탕', '에서', '유레카', '를', '외쳤', '고', '저', '는', '부산', '만덕동', '에서', '최진솔', '을', '외쳤', '습니다']"
8318,슈퍼주니어 (Super Junior) Devil (데빌) 교차편집 (Stage Mix),와 희님 미쳤구나 잘생쁨이 바로 저런건가,1,5,"['와', '희', '님', '미쳤', '구나', '잘', '생', '쁨이', '바로', '저런', '건가']"
7187,2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),준케이는 자수성가한 젊은 준호는 자기 아버지 회사 부회장우영은 젊은 나이에 승진 성공한 대학 선배닉쿤은 외국에 한 왕족 프린스,1,5,"['준', '케이', '는', '자수성가', '한', '젊', '은', '준호', '는', '자기', '아버지', '회사', '부회장', '우영', '은', '젊', '은', '나이', '에', '승진', '성공', '한', '대학', '선배', '닉쿤', '은', '외국', '에', '한', '왕족', '프린스']"
1023,[직캠] 백예린(Baek Yerin) - Square,처음에 뒤돌아서 팔뻗고 있는거 넘나 귀여움,0,0,"['처음', '에', '뒤돌', '아서', '팔', '뻗', '고', '있', '는', '거', '넘', '나', '귀여움']"
1708,2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19],예전에 제왚 돈벌어다주는 그룹 부동의 위가  이라는 소리 듣고 굉장히 의문이었는데 이제야 알겠다 존나 잘 알겠다 내 돈까지 박박긁어가라 이준호,0,0,"['예전', '에', '제', '왚', '돈', '벌', '어다', '주', '는', '그룹', '부동', '의', '위가', '이', '라는', '소리', '듣', '고', '굉장히', '의문', '이', '었', '는데', '이제야', '알', '겠', '다', '존나', '잘', '알', '겠', '다', '내', '돈', '까지', '박박', '긁', '어', '가', '라', '이준호']"
3685,강동원 깜짝 Live 풀버전 업로드(9:40초부터 재생하세요) [모노튜브],저게 이냐 ㄹㅇ 미쳤네 동안 원탑이다,0,0,"['저게', '이', '냐', 'ㄹ', 'ㅇ', '미쳤', '네', '동안', '원탑', '이', '다']"
8618,[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14,내 인생보다 뚜렷한 이목구비,1,5,"['내', '인생', '보다', '뚜렷', '한', '이목구비']"
3180,[입덕직캠] TXT 수빈 직캠 4K '9와 4분의 3 승강장에서 너를 기다려 (Run Away)' (TXT SOOBIN FanCam) | @MCOUNTDOWN_2019.10.24,하여튼간 빅히트놈들은잘생긴놈만 데려와,0,0,"['하여튼간', '빅', '히트', '놈', '들', '은', '잘생긴', '놈', '만', '데려와']"
8051,제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,이제 씨름도 오페라글라스 들고 가야겄네,1,5,"['이제', '씨름', '도', '오페라글라스', '들', '고', '가', '야', '겄', '네']"
1613,WINNER - ‘REALLY REALLY’ 0409 SBS Inkigayo,각 재벌들이 모인 것 같음 얼굴이 넷 다 다르게 귀티남,0,0,"['각', '재벌', '들', '이', '모인', '것', '같', '음', '얼굴', '이', '넷', '다', '다르', '게', '귀티', '남']"
8172,오마이걸(OH MY GIRL) - 번지(BUNGEE)(Fall in Love) # 교차편집(Stage mix) KPOP 무대영상 [1440P],근데 유시아 진짜 존나 어이없다얼굴 저렇게 생겼으면 좀 삐걱거릴만도 한데 메인댄서야그러면 노래는 좀 못해도 될텐데 메보 파트를 뚝딱 소화해내 너어는 정말,1,5,"['근데', '유시', '아', '진짜', '존나', '어이없', '다', '얼굴', '저렇게', '생겼으면', '좀', '삐걱', '거릴', '만', '도', '한데', '메인', '댄서', '야', '그러면', '노래', '는', '좀', '못', '해도', '될', '텐데', '메', '보', '파트', '를', '뚝딱', '소화', '해', '내', '너', '어', '는', '정말']"
8015,투피엠_핸즈업_댓글모음, 준호 와 뭐냐 머리 때리는 제스처보고 내 머리도 깨는줄 알았네 개잘생겼다 뭐냐 이게 무슨일이냐 나 입덕하는거냐,1,5,"['준호', '와', '뭐', '냐', '머리', '때리', '는', '제스처', '보', '고', '내', '머리', '도', '깨', '는', '줄', '알', '았', '네', '개', '잘', '생겼', '다', '뭐', '냐', '이게', '무슨', '일', '이', '냐', '나', '입', '덕', '하', '는', '거', '냐']"
1330,[Teen Top TEEN TOP] - Not a joke @ Popular song inkigayo 130901,ㄹㅇ 원래 칼군무돌은 틴탑이랑 인피니트였었는데,0,0,"['ㄹ', 'ㅇ', '원래', '칼', '군무', '돌', '은', '틴탑', '이랑', '인피니트', '였었는데']"
7288,[100203] 2PM - Heartbeat @ Seoul Music Awards,내가 이렇게 웃음이 많은 사람이었나,1,5,"['내', '가', '이렇게', '웃음', '이', '많', '은', '사람', '이', '었', '나']"
7290,제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,조상이 씨름을 만든이유를 알았다,1,5,"['조상', '이', '씨름', '을', '만든', '이유', '를', '알', '았', '다']"
7383,[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,의사 앞으로 초 남았습니다 뭐 하고 싶은 거 없으신가요나 준호 우리집 주황 셔츠 직캠의사 엥 그건 분 짜리잖아요신 허락한다,1,5,"['의사', '앞', '으로', '초', '남', '았', '습니다', '뭐', '하', '고', '싶', '은', '거', '없', '으신', '가요', '나', '준호', '우리', '집', '주황', '셔츠', '직', '캠', '의사', '엥', '그건', '분', '짜리', '잖', '아요', '신', '허락', '한다']"
7197,제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,잘생긴 사슴만 봐오던 우리는드디어 알았다잘 생긴 곰을 처음 본 순간우리안에 숨어 있는 내 궁극의 취향을,1,5,"['잘생긴', '사슴', '만', '봐', '오', '던', '우리', '는', '드디어', '알', '았', '다', '잘', '생긴', '곰', '을', '처음', '본', '순간', '우리', '안', '에', '숨', '어', '있', '는', '내', '궁극', '의', '취향', '을']"
8241,크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,웨트해보이면서 무심한 듯한 컬의 머리스탈 개본새나는 팔타투 깨끗한 흰티 찡그리며 열창하는 얼굴  어우 침고인다 아 갑자기 배가고파서요 ㅎㅎ,1,5,"['웨트', '해', '보이', '면서', '무심', '한', '듯', '한', '컬', '의', '머리', '스탈', '개', '본새', '나', '는', '팔', '타투', '깨끗', '한', '흰', '티', '찡그리', '며', '열창', '하', '는', '얼굴', '어우', '침고', '인다', '아', '갑자기', '배', '가', '고파', '서요', 'ㅎㅎ']"
1118,마법소녀광희_댓글모음,아따 기광이 귀엽네,0,0,"['아따', '기광', '이', '귀엽', '네']"
7849,강동원 깜짝 Live 풀버전 업로드(9:40초부터 재생하세요) [모노튜브],진짜 나혼산 한번만 나와주라 한번만 평생간직할게,1,5,"['진짜', '나', '혼산', '한', '번', '만', '나와', '주', '라', '한', '번', '만', '평생', '간직', '할', '게']"
7366,사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],최진솔로 삼행시 해보겠습니다최 사랑해진 사랑해솔 사랑해,1,4,"['최진솔', '로', '삼행시', '해', '보', '겠', '습니다', '최', '사랑', '해진', '사랑', '해', '솔', '사랑', '해']"
3726,"[Comeback Stage] 2PM - I'm your man, 투피엠 - 아임 유어 맨, Music Core 20140913",와 택연 어떻게 이렇게 잘생겼지 이러는데 준호를보니 준호도 엄청 잘생겼잖아 하는데 준케이가 나오니 아니 준케이 진짜로 잘생겼잖아하게 되는 영상명다 잘생긴게 이영상의 포인트,0,0,"['와', '택연', '어떻게', '이렇게', '잘', '생겼', '지', '이러', '는데', '준호', '를', '보', '니', '준호', '도', '엄청', '잘', '생겼잖아', '하', '는데', '준', '케이', '가', '나오', '니', '아', '니', '준', '케이', '진짜로', '잘', '생겼잖아', '하', '게', '되', '는', '영상', '명다', '잘생긴', '게', '이영상', '의', '포인트']"
2563,Cell Block Tango 커버 - 뮤지컬 시카고 (자막 있어요!),솔직히 처음들어올때 검색하고 들어온사람 없잖아,0,0,"['솔직히', '처음', '들어올', '때', '검색', '하', '고', '들어온', '사람', '없', '잖아']"
7755,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],뭔가 빌리랑 비슷하신듯 천사 같은 목소리로 악마의 느낌 냄 개멋있어,1,5,"['뭔가', '빌리', '랑', '비슷', '하', '신', '듯', '천사', '같', '은', '목소리', '로', '악마', '의', '느낌', '냄', '개', '멋있', '어']"
620,JYP식당에서 유기농 잔뜩 섭취 후! 박진영선배님께서 하신 말씀은?,볶은거 무친거 야경 경치 다틀리는거 왜케 웃기지ㅋㅋㅋㅋㅋ,0,0,"['볶', '은', '거', '무친', '거', '야경', '경치', '다', '틀리', '는', '거', '왜', '케', '웃기', '지', 'ㅋㅋㅋ', 'ㅋㅋ']"
3849,[Rain & Tae Jin Ah] - LA SONG @ Popular song Inkigayo 140126,보다보니까 나는 여기까진 갠찮은거 같아 끼부리는 표정도 괜찮고 입술 깨무는 것도 나쁘지 않아 그냥 수트만 입어줘 부탁할게,0,0,"['보다', '보', '니까', '나', '는', '여기', '까진', '갠', '찮은', '거', '같', '아', '끼', '부리', '는', '표정', '도', '괜찮', '고', '입술', '깨무', '는', '것', '도', '나쁘', '지', '않', '아', '그냥', '수트', '만', '입', '어', '줘', '부탁', '할', '게']"
7939,크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,형은 진짜 베를린이야나에게 치명적인 독일수도,1,2,"['형', '은', '진짜', '베를린', '이', '야', '나', '에게', '치명', '적', '인', '독일', '수도']"
6683,[IU] Black Out & Last Night story(어젯밤 이야기) Concert Live Clip (@2017 Tour ‘Palette’),정말 점점 라이브가 대단해져간다년도 첫콘서트도 정말 대단했는데이젠 그 상상 이상으로 대단해졌다,0,0,"['정말', '점점', '라이브', '가', '대단', '해져간', '다년', '도', '첫', '콘서트', '도', '정말', '대단', '했', '는데', '이젠', '그', '상상', '이상', '으로', '대단', '해졌', '다']"
8035,요청이 정말 많았던 speechless 커버시도! speechless cover!,그냥 어떻게 칭찬해야 될지 모르겠다거의 치킨먹을때처럼 시간지나감,1,5,"['그냥', '어떻게', '칭찬', '해야', '될지', '모르', '겠', '다', '거의', '치킨', '먹', '을', '때', '처럼', '시간', '지나감']"
7995,[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,인간적으로 준호랑 결혼할여자는 세금 더 내자 일단 내가 더 낼게,1,5,"['인간', '적', '으로', '준호', '랑', '결혼', '할', '여자', '는', '세금', '더', '내자', '일단', '내', '가', '더', '낼', '게']"
7246,[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,자택근무하는 직장인입니다 화상회의하면서 우리집 준호 보고있습니다 부장님도 이해해주실 거에요,1,5,"['자택', '근무', '하', '는', '직장인', '입니다', '화상', '회의', '하', '면서', '우리', '집', '준호', '보', '고', '있', '습니다', '부장', '님', '도', '이해', '해', '주', '실', '거', '에요']"
4600,Cell Block Tango 커버 - 뮤지컬 시카고 (자막 있어요!),이언니 영국식 발음만 익히면 이제 다 진짜로 쓰러지는거야,0,0,"['이', '언니', '영국', '식', '발음', '만', '익히', '면', '이제', '다', '진짜로', '쓰러지', '는', '거', '야']"
4931,데이식스(DAY6) - 행복했던 날들이었다(days gone by) 교차편집 (Stage Mix),  내 마약ㅇ임,0,0,"['내', '마약', 'ㅇ임']"
