,title,text,label,type
0,[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,지나가다 제 댓글 보면 좋아요 한번만 정중히 부탁드립니다 알림 올 때 마다 와서 보게요,0,0
1,Cell Block Tango 커버 - 뮤지컬 시카고 (자막 있어요!),또왔냐 출석체크하고가 ㅋ,0,0
2,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,너무 좋아서 한국어가 다나오네,0,0
3,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],너무 좋아서 한국어가 다나오네,0,0
4,악플을 읽은 반응은??ㅋㅋㅋㅋ쎄다 After reading my bad comments...,저는 꿈쩍하지 않아요진짜루     ,0,0
5,[IU TV] 아이유 분노의 티켓팅!,아이유씨 그런 여유로운 마음가짐으로는 아이유 콘서트 절대 못가요,0,0
6,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),후유증팸들아 우리도 깡팸처럼 될수있다 존버 ,0,0
7,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),뭉치면 죽고 흩어지면 사는 그룹,0,0
8,"저스틴비버님의 팬으로서, '야미'를 춰보았습니다. yummy dance choreo",다음에 또 해도 괜찮을까요,0,0
9,우리집 준호,아니 제목이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐 직캠 이런 것도 어니고 뭐 교차편집도 아니거 우리집 준호ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞는 말인데 웃기네,0,0
10,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),다들 최소한의 근육만 발동시키고있음ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
11,요청이 정말 많았던 speechless 커버시도! speechless cover!,도 라비님의 도 같이 들어요         ,0,0
12,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,감자 좋아요 많다,0,0
13,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],감자 좋아요 많다,0,0
14,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),모두 연예인이 될 팔자긴 한데 그게 아이돌은 아닌 사람들의 모임,0,0
15,심심해서 단발로 잘라버림 ㅋㅋㅋㅋㅋㅋㅋㅋ,   제 붙임머리는 굉장히 오래 하고 있어서 폐기해야하는 상황에서 하게 된 것이랍니다,0,0
16,사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],이언니 뭔가 아이폰 광고에 나올것처럼 생겼어,0,0
17,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),연말 시상식을 위해 열심히 연습한 신인배우들 같다,0,0
18,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),몇명은 백댄서인줄 알았는데 자꾸 하나둘씩 어디서 숨겨놨던 핸드마이크들고 앞으로 나와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미치겠네,0,0
19,[직캠] 백예린(Baek Yerin) - Square,이젠 저 물병이 손소독제로 보이는 지경에 이르렀다ㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㅋㄱㅋㄱㅋㅋㄱㅋㅋㅋㄱㅋㄱㅋㄱㅋㅋㄱ,0,0
20,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],에서 최진솔 고소했다며ㅋㅋㅋ 노래가 막혀서,0,0
21,유노윤호 “창민아 생일 축하한다!!!!!”,심창민 생일트라우마ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
22,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,에서 최진솔 고소했다며ㅋㅋㅋ 노래가 막혀서,0,0
23,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817), 이 악물고 하드캐리하는 동준 자신감 맥아리 없는 형식 카메라랑 낯가리는 시완 끼는 혼자다부리는데 아무도 이름모르는 애,0,0
24,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,여기 들어오는 사람들 특  오진거 틀어놓고   한국인들 드립력 보러 오는거임  분초 끝날 때 까지 댓글 다 ,0,0
25,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],여기 들어오는 사람들 특  오진거 틀어놓고   한국인들 드립력 보러 오는거임  분초 끝날 때 까지 댓글 다 ,0,0
26,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),어디까지가 멤버고 어디까지가 백댄서인지 모르겠음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
27,[Rain & Tae Jin Ah] - LA SONG @ Popular song Inkigayo 140126,정보 이영상을 보게 된 사람은 최근 깡을 본적이 있다,0,0
28,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],어 약간 이상하지만 언니 단발머리 밑에서 올려다보고싶어요,0,0
29,오마이걸(OH MY GIRL) - 다섯 번째 계절(SSFWL) # 교차편집(Stage mix) KPOP 무대영상 [1440P],누가 승희 머리 묶고 리본으로 장식했냐,0,0
30,[직캠] 백예린(Baek Yerin) - Square,예린이가 정확한 가사 올려줬어요    모든 색깔들과 성격들 가운데,0,0
31,우리집 준호,어릴 땐 뭣모르고 근육질 투피엠에 설렘을 못 느꼈었지 귀한 줄도 모르고,0,0
32,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,어 약간 이상하지만 언니 단발머리 밑에서 올려다보고싶어요,0,0
33,유노윤호 “창민아 생일 축하한다!!!!!”,하도봐서 이제 창민아생일축하한다가 노래의 일부분같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
34,"B1A4 - Good Night, B1A4 - 잘자요 굿나잇, Music Core 20120526",아니 개소리를 ㅈㄴ 감미롭게 부르넼ㅋㅋㅋ,0,0
35,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),신나는 멜로디 슬픈 가사 화난 표정 ,0,0
36,2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),아니 가자매 왜 논산으로 간거야,0,0
37,JYP식당에서 유기농 잔뜩 섭취 후! 박진영선배님께서 하신 말씀은?,우리 모두 건강한 식습관으로 건강해져요,0,0
38,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),이 영상 특징  썸네일 아이돌 시절 임시완에 이끌려서 들어왔지만 웃긴 댓글들 때문에 노래는 배경음악 삼아서 들음,0,0
39,마법소녀 광희,배경 글라스데코인가요,0,0
40,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),김동준 임시완 박형식 빼고 중간에 화장실 갔다와도 모를듯 ㅋㅋㅋㅋ,0,0
41,유노윤호 “창민아 생일 축하한다!!!!!”,미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 대단한거 같음 심창민은 생일때마다 저 영상 엄청 받을듯,0,0
42,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,자꾸 잘한다 잘한다 하니까 세상이 자기 건 줄 알죠,0,0
43,"INFINITE - Man In Love, 인피니트 - 맨 인 러브, Music Core 20130406",엘이 남자아이돌 얼굴 탑먹을시절,0,0
44,[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817),못뜬이유노래는 잘뽑았는데 춤도되게 힘있게 열심히추는것도아니고 다들표정들이 집빨리가고싶어보임,0,0
