index,Unnamed: 0,title,text,label,type
7116,7113,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],용안애서 비치난다하고풍거 삭다해라매일이론 덕후마음주접이라 할지라도,1,2
7117,7119,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],내 삶은 최진솔    삶지 마세요,1,2
7118,7156,백예린 - 그건 아마 우리의 잘못은 아닐 거야 Cover by 주호민 (Feat. 침착맨 (이말년)) I [DF LIVE],숱이 심히 없는자와 수치심이 없는자이댓글 어디갔나ㅋㅋㄱㅋㄲㅋㄱ 개미쳤는데ㅋㅋㅋㅋㄲㅋ,1,2
7119,7467,[입덕직캠] TXT 수빈 직캠 4K '9와 4분의 3 승강장에서 너를 기다려 (Run Away)' (TXT SOOBIN FanCam) | @MCOUNTDOWN_2019.10.24,오빠 춤을 그렇게 풀린 눈으로 추면 내 고삐도 풀림,1,2
7120,7955,크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,우리오파 개기엽다 하고풍거 삭다해라 매일이론 덕후마음 주접이라 할지라도 다이조부 충성충성 좌로인정 우로인정 압구루기 대굴대굴 진리불변 래알이다,1,2
7121,8414,우리집 준호,도산안창호 도마안중근 우리집준호,1,2
7122,8417,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니는 레늄과 알루미늄으로 만들어진 게 분명해 왜냐고 언니는 진짜니까,1,2
7123,8426,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,언니 아직 영어이름 있어요  없으면 조지랑 부시는 어때요 내 마음을 조지고 부시니까 ,1,2
7124,8432,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],진솔언니가 계란 한판 사면 계란이 스물일곱개밖에 없다면서요 언니없는 세 계란 존재할 수 없으니까,1,2
7125,8433,[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,이나은은 사랑스럽고 나는 적당히 사람스러움,1,2
7126,8437,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],언니 한의원 가지마세요 사림들이 언니만보면 침흘려서 의사가 침을 못놓잖아요,1,2
7127,8446,한예슬의 일상 메이크업은? | Daily Makeup,언니 혹시 전생에 미국이름 조지 부시였나요  제 마음을 조지고 부시니까 마음이 안남아나요 그 얼굴이 생얼이면 매일 거울보면서 얼굴 감탄해서 시간 가는 줄 모르겠어요,1,2
7128,8470,Believer - Imagine Dragons (cover by jinsoulcoe)[4K],언니가 사는 곳은 여름이 없다매요 더 위가 없어서,1,2
7129,8472,The Beatles - Hey Jude (cover by 최진솔),뭐야 언니 헤이 줃 뭐예요지금 노래부르고 있었는데제 주둥아리한테 인사한거예요언니 고마워요,1,2
7130,8526,[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,님의 는 사슴같아요 내마음을 녹용님 이름 못정하셨으면 조지부시어때요,1,2
7131,8533,겟레디윗미 EDM 페스티벌! | Makeover For Music Festival,한예슬이 아니라 한예술임 예술이다 진짜보는 내내 감탄함존예롭다,1,2
